DATE_OF_SURVEY,YEAR,MONTH,DAY,REGION,BED,BED_NAME,HARVESTED,TOTAL,AVAILABLE,DATE_PREVIOUS_SURVEY,Notes
08/13/1957,1957,8,13,"Southern","115","Santa Rosa Island (NW)",-99999,300,-99999,01/01/1800," "
09/11/1957,1957,9,11,"Southern","114","Santa Rosa Island (SW)",-99999,1200,-99999,01/01/1800," "
10/09/1957,1957,10,9,"Southern","28","Naples",-99999,300,-99999,01/01/1800," "
11/02/1957,1957,11,2,"Southern","32","San Augustine",-99999,15000,-99999,01/01/1800," "
11/15/1957,1957,11,15,"Southern","30","Tajiguas",-99999,0,-99999,01/01/1800," "
11/25/1957,1957,11,25,"Southern","24","Arroyo Burro",-99999,0,-99999,01/01/1800," "
11/25/1957,1957,11,25,"Southern","26","Goleta",-99999,0,-99999,01/01/1800," "
12/01/1957,1957,12,1,"Southern","25","Hope Ranch",-99999,300,-99999,01/01/1800," "
12/27/1957,1957,12,27,"Southern","2","Coronado",-99999,100,-99999,01/01/1800," "
01/30/1958,1958,1,30,"Southern","101","San Clemente Island (S)",-99999,0,-99999,01/01/1800," "
02/03/1958,1958,2,3,"Southern","22","Santa Barbara",-99999,100,-99999,01/01/1800," "
02/04/1958,1958,2,4,"Southern","21","Summerland",-99999,4200,-99999,01/01/1800," "
02/15/1958,1958,2,15,"Southern","102","San Clemente Island (W)",-99999,300,-99999,01/01/1800," "
02/15/1958,1958,2,15,"Southern","103","San Clemente Island (N)",-99999,300,-99999,01/01/1800," "
02/15/1958,1958,2,15,"Southern","104","San Clemente Island (E)",-99999,600,-99999,01/01/1800," "
02/22/1958,1958,2,22,"Southern","107A","San Nicolas Island",-99999,300,-99999,01/01/1800," "
02/22/1958,1958,2,22,"Southern","107B","San Nicolas Island (Foul)",-99999,300,-99999,01/01/1800," "
02/22/1958,1958,2,22,"Southern","108A","San Nicolas Island (Rockpile)",-99999,300,-99999,01/01/1800," "
02/22/1958,1958,2,22,"Southern","108B","San Nicolas Island (Westend)",-99999,300,-99999,01/01/1800," "
02/22/1958,1958,2,22,"Southern","108C","San Nicolas Island (Barrack)",-99999,300,-99999,01/01/1800," "
02/24/1958,1958,2,24,"Southern","20","Carpinteria",-99999,450,-99999,01/01/1800," "
03/04/1958,1958,3,4,"Southern","3","Point Loma",-99999,300,-99999,01/01/1800," "
03/04/1958,1958,3,4,"Southern","5","Encinitas",-99999,200,-99999,01/01/1800," "
03/04/1958,1958,3,4,"Southern","6","Las Flores",-99999,1100,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","1","Imperial Beach",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","7","San Onofre",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","8","Capistrano Beach",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","9","San Clemente",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","10","Corona Del Mar",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","13","Palos Verdes",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","14","Redondo Beach",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","15","Pacific Palisades",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","16","Malibu",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","17","Point Dume",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","18","Ventura",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","19","Rincon Point",-99999,-99999,-99999,01/01/1800," "
